Id,Churn,Genero,Tiene +60,Posee_pareja,Posee_dependientes,Tiempo_contrato,Servicio_telefono,Multiples_lineas,Tipo_internet,Seguridad_online,Backup_online,Proteccion_dispositivo,Soporte_tecnico,Streaming_tv,Streaming_peliculas,Tipo_contrato,Factura_digital,Metodo_pago,Valor_mensual,Total_cobrado,Cuentas_Diarias
0020-JDNXP,No,Femenino,0,Si,Si,34,No,No,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque por correo,61.25,1993.2,2.04
0021-IKXGC,No,Femenino,1,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,72.1,72.1,2.4
0022-TCJCI,Si,Masculino,1,No,No,45,Si,No,DSL,Si,No,Si,No,No,Si,Un año,No,Tarjeta de crédito,62.7,2791.5,2.09
0023-HGHWL,Si,Masculino,1,No,No,1,No,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,25.1,25.1,0.84
0023-UYUPN,No,Femenino,1,Si,No,50,Si,Si,No,No,No,No,No,No,No,Un año,No,Cheque electrónico,25.2,1306.3,0.84
0023-XUOPT,Si,Femenino,0,Si,No,13,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mes a mes,No,Cheque electrónico,94.1,1215.6,3.14
0027-KWYKW,No,Femenino,0,Si,Si,23,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,83.75,1849.95,2.79
0030-FNXPP,No,Femenino,0,No,No,3,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,19.85,57.2,0.66
0031-PVLZI,Si,Femenino,0,Si,Si,4,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.35,76.35,0.68
0032-PGELS,Si,Femenino,0,Si,Si,1,No,No,DSL,Si,No,No,No,No,No,Mes a mes,No,Transferencia bancaria,30.5,30.5,1.02
0036-IHMOT,No,Femenino,0,Si,Si,55,Si,No,Fibra optica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,103.7,5656.75,3.46
0040-HALCW,No,Masculino,0,Si,Si,54,Si,No,No,No,No,No,No,No,No,Dos años,No,Tarjeta de crédito,20.4,1090.6,0.68
0042-JVWOJ,No,Masculino,0,No,No,26,Si,No,No,No,No,No,No,No,No,Un año,Si,Transferencia bancaria,19.6,471.85,0.65
0042-RLHYP,No,Femenino,0,Si,Si,69,Si,No,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,19.7,1396.9,0.66
0048-LUMLS,No,Masculino,0,Si,Si,37,Si,No,Fibra optica,No,No,No,No,Si,Si,Un año,No,Tarjeta de crédito,91.2,3247.55,3.04
0048-PIHNL,No,Femenino,0,Si,No,49,Si,No,No,No,No,No,No,No,No,Un año,No,Transferencia bancaria,20.45,900.9,0.68
0052-DCKON,No,Masculino,0,Si,No,66,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,No,Transferencia bancaria,115.8,7942.15,3.86
0052-YNYOT,No,Femenino,0,No,No,67,Si,No,No,No,No,No,No,No,No,Un año,No,Cheque electrónico,20.55,1343.4,0.68
0056-EPFBG,No,Masculino,0,Si,Si,20,No,No,DSL,Si,No,Si,Si,No,No,Dos años,Si,Tarjeta de crédito,39.4,825.4,1.31
0057-QBUQH,No,Femenino,0,No,Si,43,Si,Si,No,No,No,No,No,No,No,Dos años,Si,Cheque electrónico,25.1,1070.15,0.84
0058-EVZWM,No,Femenino,0,Si,No,55,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria,89.8,4959.6,2.99
0060-FUALY,No,Femenino,0,Si,No,59,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,Si,Cheque electrónico,94.75,5597.65,3.16
0064-SUDOG,No,Femenino,0,Si,Si,12,Si,No,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,20.3,224.5,0.68
0064-YIJGF,No,Masculino,0,Si,Si,27,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria,75.75,1929.0,2.52
0067-DKWBL,Si,Masculino,1,No,No,2,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,49.25,91.1,1.64
0068-FIGTF,No,Femenino,0,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,Un año,No,Cheque por correo,78.2,2078.95,2.61
0071-NDAFP,No,Masculino,0,Si,Si,25,Si,Si,No,No,No,No,No,No,No,Dos años,No,Tarjeta de crédito,25.5,630.6,0.85
0074-HDKDG,No,Masculino,0,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,Un año,Si,Transferencia bancaria,61.6,1611.0,2.05
0076-LVEPS,No,Masculino,0,No,Si,29,No,No,DSL,Si,Si,Si,Si,No,No,Mes a mes,Si,Cheque por correo,45.0,1242.45,1.5
0078-XZMHT,No,Masculino,0,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,85.15,6316.2,2.84
0080-EMYVY,No,Femenino,0,No,No,14,Si,No,DSL,No,Si,No,No,No,No,Un año,No,Tarjeta de crédito,51.45,727.85,1.72
0080-OROZO,No,Femenino,0,No,No,35,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Un año,Si,Cheque electrónico,99.25,3532.0,3.31
0082-LDZUE,No,Masculino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,44.3,44.3,1.48
0082-OQIQY,No,Masculino,0,No,No,29,Si,No,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Cheque electrónico,94.2,2607.6,3.14
0083-PIVIK,No,Masculino,0,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,Un año,No,Cheque electrónico,81.25,5567.55,2.71
0089-IIQKO,No,Femenino,0,Si,Si,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito,99.95,3767.4,3.33
0093-EXYQL,No,Femenino,1,No,No,40,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,91.55,3673.6,3.05
0093-XWZFY,Si,Masculino,0,No,No,40,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Tarjeta de crédito,104.5,4036.85,3.48
0094-OIFMO,Si,Femenino,1,No,No,11,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,95.0,1120.3,3.17
0096-BXERS,No,Femenino,0,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,50.35,314.55,1.68
0096-FCPUF,No,Masculino,0,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Mes a mes,Si,Cheque por correo,64.5,1888.45,2.15
0098-BOWSO,No,Masculino,0,No,No,27,Si,No,No,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,19.4,529.8,0.65
0100-DUVFC,No,Masculino,1,Si,No,70,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Un año,Si,Cheque electrónico,104.8,7308.95,3.49
0103-CSITQ,No,Femenino,0,Si,No,57,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,109.4,6252.7,3.65
0104-PPXDV,No,Masculino,0,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,Un año,No,Tarjeta de crédito,50.3,2878.55,1.68
0106-GHRQR,No,Masculino,0,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Mes a mes,Si,Transferencia bancaria,71.4,1212.1,2.38
0106-UGRDO,No,Femenino,0,Si,No,69,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,116.0,8182.85,3.87
0107-WESLM,Si,Masculino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,19.85,19.85,0.66
0107-YHINA,Si,Masculino,0,No,Si,1,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,99.75,99.75,3.32
0111-KLBQG,No,Masculino,1,Si,Si,32,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque por correo,93.95,2861.45,3.13
0112-QAWRZ,No,Masculino,0,Si,Si,16,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mes a mes,Si,Transferencia bancaria,90.8,1442.2,3.03
0112-QWPNC,Si,Masculino,0,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque electrónico,84.35,4059.35,2.81
0114-IGABW,No,Femenino,0,Si,No,71,No,No,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,58.25,4145.9,1.94
0114-PEGZZ,No,Femenino,0,No,No,33,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,No,Cheque electrónico,107.55,3645.5,3.58
0114-RSRRW,No,Femenino,0,Si,No,10,Si,No,No,No,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria,19.95,187.75,0.66
0115-TFERT,Si,Masculino,0,Si,No,21,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Mes a mes,Si,Cheque electrónico,111.2,2317.1,3.71
0117-LFRMW,Si,Masculino,0,Si,Si,37,No,No,DSL,Si,Si,Si,No,No,No,Mes a mes,No,Transferencia bancaria,40.2,1448.8,1.34
0118-JPNOY,No,Femenino,1,No,No,26,Si,No,Fibra optica,Si,No,No,No,Si,No,Mes a mes,Si,Tarjeta de crédito,85.8,2193.65,2.86
0121-SNYRK,No,Masculino,0,No,No,50,No,No,DSL,Si,No,No,Si,No,No,Un año,Si,Cheque por correo,35.4,1748.9,1.18
0122-OAHPZ,Si,Femenino,0,No,No,7,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,73.85,511.25,2.46
0123-CRBRT,No,Femenino,0,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,88.1,5526.75,2.94
0125-LZQXK,Si,Masculino,0,No,No,15,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Mes a mes,Si,Cheque electrónico,101.35,1553.95,3.38
0128-MKWSG,No,Femenino,0,No,Si,26,No,No,DSL,Si,No,No,Si,No,Si,Mes a mes,No,Cheque por correo,45.8,1147.0,1.53
0129-KPTWJ,No,Masculino,0,Si,No,72,Si,No,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,94.65,6747.35,3.16
0129-QMPDR,No,Masculino,0,Si,Si,44,Si,No,No,No,No,No,No,No,No,Un año,Si,Transferencia bancaria,20.5,865.05,0.68
0130-SXOUN,No,Masculino,0,No,No,66,Si,Si,Fibra optica,No,Si,No,No,No,Si,Mes a mes,No,Tarjeta de crédito,89.4,5976.9,2.98
0133-BMFZO,Si,Femenino,0,No,No,2,Si,No,Fibra optica,Si,Si,No,Si,No,No,Mes a mes,Si,Cheque electrónico,86.25,181.65,2.88
0134-XWXCE,No,Femenino,1,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,Un año,No,Transferencia bancaria,74.85,3268.05,2.49
0135-NMXAP,Si,Femenino,0,No,No,12,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,Si,Transferencia bancaria,89.75,1052.4,2.99
0136-IFMYD,No,Masculino,1,Si,No,69,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,109.95,7634.25,3.66
0137-OCGAB,Si,Femenino,0,No,No,1,Si,Si,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Cheque por correo,80.2,80.2,2.67
0137-UDEUO,Si,Femenino,0,No,No,3,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,19.85,63.75,0.66
0139-IVFJG,No,Femenino,0,Si,No,2,Si,No,Fibra optica,Si,Si,No,No,Si,No,Mes a mes,No,Cheque electrónico,90.35,190.5,3.01
0141-YEAYS,No,Femenino,1,No,No,27,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria,86.45,2401.05,2.88
0142-GVYSN,No,Masculino,0,No,No,26,Si,No,No,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,20.3,511.25,0.68
0147-ESWWR,No,Femenino,1,Si,No,39,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Cheque electrónico,101.25,3949.15,3.38
0148-DCDOS,Si,Masculino,0,No,No,25,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Transferencia bancaria,94.7,2362.1,3.16
0151-ONTOV,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,70.9,70.9,2.36
0156-FVPTA,Si,Masculino,0,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mes a mes,Si,Cheque electrónico,54.2,1152.7,1.81
0164-APGRB,No,Femenino,0,No,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,114.9,8496.7,3.83
0164-XAIRP,No,Femenino,0,No,No,24,Si,No,No,No,No,No,No,No,No,Dos años,Si,Transferencia bancaria,19.55,470.2,0.65
0168-XZKBB,No,Femenino,0,Si,No,19,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,86.85,1564.4,2.9
0174-QRVVY,No,Masculino,0,Si,Si,71,Si,Si,No,No,No,No,No,No,No,Dos años,No,Tarjeta de crédito,25.35,1847.55,0.85
0177-PXBAT,No,Masculino,1,Si,No,33,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,Si,Transferencia bancaria,109.9,3694.7,3.66
0178-CIIKR,No,Femenino,0,No,No,3,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,19.95,58.0,0.66
0178-SZBHO,No,Masculino,0,Si,Si,47,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,No,Cheque electrónico,87.2,4017.45,2.91
0181-RITDD,No,Masculino,0,Si,Si,62,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,108.15,6825.65,3.6
0186-CAERR,No,Masculino,0,No,No,71,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,116.3,8309.55,3.88
0187-QSXOE,No,Masculino,1,Si,No,7,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,89.0,605.45,2.97
0187-WZNAB,No,Femenino,0,Si,Si,27,Si,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,No,Cheque por correo,74.4,1972.35,2.48
0188-GWFLE,No,Masculino,0,No,No,2,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.05,33.7,0.67
0191-EQUUH,No,Femenino,0,No,Si,25,No,No,DSL,Si,No,No,Si,No,No,Dos años,No,Transferencia bancaria,35.05,844.45,1.17
0191-ZHSKZ,No,Masculino,1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,74.75,2111.3,2.49
0193-ESZXP,Si,Femenino,1,Si,No,58,Si,No,Fibra optica,Si,Si,No,Si,Si,Si,Un año,Si,Tarjeta de crédito,105.5,6205.5,3.52
0195-IESCP,Si,Masculino,0,Si,No,10,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,85.25,855.3,2.84
0196-JTUQI,No,Femenino,0,No,No,9,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Tarjeta de crédito,75.2,633.85,2.51
0196-VULGZ,Si,Femenino,1,Si,No,6,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,84.35,474.9,2.81
0197-PNKNK,No,Femenino,0,Si,Si,69,Si,Si,Fibra optica,Si,No,Si,No,No,No,Un año,No,Transferencia bancaria,84.45,5848.6,2.82
0201-MIBOL,No,Femenino,1,No,No,66,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Dos años,Si,Transferencia bancaria,102.4,6471.85,3.41
0201-OAMXR,Si,Femenino,0,No,No,70,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,No,Tarjeta de crédito,115.55,8127.6,3.85
0203-HHYIJ,Si,Masculino,0,No,No,25,Si,Si,No,No,No,No,No,No,No,Un año,No,Transferencia bancaria,25.3,676.35,0.84
0206-OYVOC,No,Femenino,0,Si,Si,46,Si,No,No,No,No,No,No,No,No,Dos años,Si,Cheque por correo,19.25,864.2,0.64
0206-TBWLC,No,Femenino,0,Si,No,54,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,Si,Cheque por correo,114.65,6049.5,3.82
0207-MDKNV,Si,Femenino,0,No,No,15,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,No,Cheque electrónico,105.1,1582.75,3.5
0208-BPQEJ,No,Femenino,0,Si,Si,12,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Transferencia bancaria,19.4,198.1,0.65
0212-ISBBF,No,Femenino,0,No,No,22,No,No,DSL,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,50.35,1098.85,1.68
0214-JHPFW,No,Femenino,0,Si,No,70,No,No,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,57.8,4039.3,1.93
0215-BQKGS,No,Masculino,0,No,No,30,Si,No,Fibra optica,Si,Si,Si,No,No,No,Mes a mes,Si,Tarjeta de crédito,84.3,2438.6,2.81
0218-QNVAS,No,Masculino,0,Si,Si,71,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Un año,No,Transferencia bancaria,100.55,7113.75,3.35
0219-QAERP,No,Masculino,0,Si,No,30,Si,No,No,No,No,No,No,No,No,Un año,No,Tarjeta de crédito,19.8,576.65,0.66
0219-YTZUE,Si,Masculino,0,Si,Si,4,Si,Si,Fibra optica,No,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria,84.8,371.9,2.83
0220-EBGCE,Si,Masculino,0,No,No,2,Si,No,Fibra optica,No,No,Si,No,No,Si,Mes a mes,Si,Cheque electrónico,85.85,167.3,2.86
0221-NAUXK,No,Masculino,0,No,Si,10,Si,No,No,No,No,No,No,No,No,Un año,Si,Transferencia bancaria,19.95,219.5,0.66
0221-WMXNQ,No,Masculino,1,No,No,4,Si,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,No,Cheque electrónico,75.35,273.4,2.51
0222-CNVPT,No,Masculino,1,No,No,52,No,No,DSL,Si,No,No,No,Si,Si,Mes a mes,Si,Tarjeta de crédito,48.8,2555.05,1.63
0224-HJAPT,Si,Masculino,0,No,No,5,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,47.15,223.15,1.57
0224-NIJLP,No,Masculino,0,Si,Si,8,Si,No,No,No,No,No,No,No,No,Dos años,No,Cheque por correo,20.15,165.5,0.67
0224-RLWWD,No,Femenino,1,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,44.3,89.3,1.48
0225-ZORZP,No,Masculino,0,No,No,3,Si,No,Fibra optica,No,Si,No,No,No,Si,Mes a mes,No,Cheque electrónico,84.3,235.05,2.81
0228-MAUWC,No,Masculino,0,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,Mes a mes,No,Cheque electrónico,59.55,1144.6,1.98
0229-LFJAF,No,Masculino,0,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria,69.65,4908.25,2.32
0230-UBYPQ,No,Masculino,1,Si,No,63,No,No,DSL,Si,No,No,Si,No,No,Un año,No,Transferencia bancaria,36.1,2298.9,1.2
0230-WEQUW,No,Masculino,0,Si,No,66,No,No,DSL,Si,Si,Si,Si,Si,No,Dos años,Si,Transferencia bancaria,56.6,3789.2,1.89
0231-LXVAP,Si,Masculino,0,No,No,1,Si,No,Fibra optica,No,No,No,Si,No,No,Mes a mes,Si,Cheque electrónico,75.9,75.9,2.53
0233-FTHAV,No,Femenino,0,No,No,60,Si,Si,Fibra optica,No,No,Si,No,No,No,Un año,Si,Transferencia bancaria,79.2,4765.0,2.64
0234-TEVTT,No,Femenino,0,Si,Si,48,No,No,DSL,Si,No,Si,No,No,Si,Un año,No,Tarjeta de crédito,45.0,2196.3,1.5
0235-KGSLC,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,No,Si,No,Si,No,Mes a mes,Si,Tarjeta de crédito,85.55,85.55,2.85
0236-HFWSV,Si,Masculino,0,No,No,15,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,93.35,1444.65,3.11
0237-YFUTL,No,Femenino,0,Si,No,50,Si,Si,Fibra optica,Si,Si,No,Si,Si,Si,Mes a mes,Si,Transferencia bancaria,109.65,5405.8,3.66
0238-WHBIQ,No,Masculino,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de crédito,89.7,6339.3,2.99
0239-OXEXL,No,Femenino,0,No,No,46,Si,Si,Fibra optica,Si,Si,No,No,No,No,Mes a mes,No,Cheque por correo,84.25,3847.6,2.81
0244-LGNFY,No,Femenino,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,92.65,6733.0,3.09
0247-SLUJI,No,Masculino,0,Si,Si,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,19.7,19.7,0.66
0248-IPDFW,No,Femenino,0,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,50.1,50.1,1.67
0248-PGHBZ,No,Femenino,1,No,No,67,Si,No,Fibra optica,Si,Si,No,Si,Si,No,Dos años,Si,Transferencia bancaria,92.45,6140.85,3.08
0253-ZTEOB,No,Femenino,0,Si,Si,48,Si,Si,DSL,No,Si,No,Si,Si,Si,Dos años,No,Cheque electrónico,79.65,3870.3,2.66
0254-FNMCI,No,Femenino,0,No,No,72,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,109.9,7624.2,3.66
0254-KCJGT,No,Masculino,0,Si,No,52,Si,Si,DSL,Si,Si,Si,Si,No,Si,Un año,Si,Tarjeta de crédito,81.4,4354.45,2.71
0254-WWRKD,No,Femenino,0,Si,Si,67,Si,No,DSL,No,Si,No,No,No,No,Un año,No,Tarjeta de crédito,50.55,3431.75,1.68
0256-LTHVJ,Si,Femenino,0,Si,Si,28,Si,No,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,81.05,2227.1,2.7
0257-KXZGU,No,Femenino,0,Si,Si,32,Si,Si,DSL,No,Si,Si,No,No,No,Mes a mes,No,Transferencia bancaria,62.45,2045.55,2.08
0257-ZESQC,Si,Femenino,1,Si,No,27,Si,No,Fibra optica,Si,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria,75.2,1929.35,2.51
0258-NOKBL,No,Masculino,0,No,No,3,Si,No,Fibra optica,No,Si,Si,No,No,Si,Mes a mes,No,Cheque electrónico,90.4,268.45,3.01
0259-GBZSH,Si,Masculino,0,No,No,2,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,85.65,181.5,2.86
0260-ZDLGK,Si,Femenino,0,No,Si,9,Si,No,DSL,No,No,Si,Si,Si,Si,Mes a mes,Si,Cheque por correo,72.9,651.4,2.43
0263-FJTQO,No,Masculino,0,Si,Si,50,Si,Si,DSL,Si,No,No,Si,Si,No,Dos años,Si,Tarjeta de crédito,70.5,3486.65,2.35
0264-CNITK,No,Femenino,0,Si,Si,71,Si,No,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,20.1,1389.6,0.67
0265-EDXBD,Si,Masculino,1,Si,No,32,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,74.9,2303.35,2.5
0265-PSUAE,No,Femenino,0,Si,Si,16,Si,No,Fibra optica,Si,No,Si,No,Si,Si,Mes a mes,No,Transferencia bancaria,100.7,1522.7,3.36
0266-CLZKZ,No,Femenino,0,Si,Si,67,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,105.65,6717.9,3.52
0266-GMEAO,No,Masculino,0,Si,Si,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito,114.3,8058.55,3.81
0268-QKIWO,Si,Femenino,0,No,No,3,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,19.75,58.85,0.66
0269-XFESX,No,Masculino,0,Si,Si,23,Si,Si,No,No,No,No,No,No,No,Un año,No,Cheque por correo,24.35,538.5,0.81
